Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards
2016*,23,DAL,QB,4,16,16,13-3-0,311,459,67.8,3667,23,5.0,4,0.9,185,52.3,83,8.0,8.6,11.8,229.2,104.9,77.6,25,143,5.2,7.28,7.86,5,5,15,AP ORoY-1 AP MVP-6 PB
2017,24,DAL,QB,4,16,16,9-7-0,308,490,62.9,3324,22,4.5,13,2.7,162,43.3,81,6.8,6.5,10.8,207.8,86.6,69.9,32,185,6.1,6.01,5.74,0,4,13,
2018*,25,DAL,QB,4,16,16,10-6-0,356,526,67.7,3885,22,4.2,8,1.5,184,45.2,90,7.4,7.5,10.9,242.8,96.9,55.2,56,347,9.6,6.08,6.22,3,5,14,PB
2019,26,DAL,QB,4,16,16,8-8-0,388,596,65.1,4902,30,5.0,11,1.8,229,52.3,62,8.2,8.4,12.6,306.4,99.7,71.9,23,151,3.7,7.68,7.84,,,15,
2020,27,DAL,QB,4,5,5,2-3-0,151,222,68.0,1856,9,4.1,4,1.8,93,56.0,58,8.4,8.4,12.3,371.2,99.6,73.1,10,66,4.3,7.72,7.72,1,1,6,
2021,28,DAL,QB,4,16,16,11-5-0,410,596,68.8,4449,37,6.2,10,1.7,227,51.4,51,7.5,8.0,10.9,278.1,104.2,54.6,30,144,4.8,6.88,7.34,1,2,14,AP CPoY-2
2022,29,DAL,QB,4,12,12,8-4-0,261,394,66.2,2860,23,5.8,15,3.8,142,51.7,68,7.3,6.7,11.0,238.3,91.1,59.9,20,126,4.8,6.60,6.08,2,2,11,
2023*,30,DAL,QB,4,17,17,12-5-0,410,590,69.5,4516,36,6.1,9,1.5,222,51.5,92,7.7,8.2,11.0,265.6,105.9,72.6,39,255,6.2,6.77,7.28,2,3,,PB
Career,Career,,,,114,114,73-41-0,2595,3873,67.0,29459,202,5.2,74,1.9,1444,50.0,92,7.6,7.8,11.4,258.4,99.0,,235,1417,5.7,6.83,7.00,14,22,88,
